Column1,Column2,Column3,Column4
Right_PDF_Reader,office,hed_lite_model_quantize.tflite,E:\mobilesec\apps\office\Right_PDF_Reader\hed_lite_model_quantize.tflite
秀秀直播,video,ruby.model,E:\mobilesec\apps\video\秀秀直播\ruby.model
甜橙财富,finance,M_Align_occlusion.model,E:\mobilesec\apps\finance\甜橙财富\M_Align_occlusion.model
浦发信用卡,finance,KM_RGB_Liveness_General_Face_FP32_12.1.44_half_compression_v2_origin.model,E:\mobilesec\apps\finance\浦发信用卡\KM_RGB_Liveness_General_Face_FP32_12.1.44_half_compression_v2_origin.model
苏州银行,finance,model_emboss.bin,E:\mobilesec\apps\finance\苏州银行\model_emboss.bin
街唱,communication,filter_invert.model,E:\mobilesec\apps\communication\街唱\filter_invert.model
我看直播,video,filter_vignette.model,E:\mobilesec\apps\video\我看直播\filter_vignette.model
珍爱,communication,acn_535_net1.opt.tnnmodel,E:\mobilesec\apps\communication\珍爱\acn_535_net1.opt.tnnmodel
呼我司机市内版,travel,acn_535_net2.opt.tnnmodel,E:\mobilesec\apps\travel\呼我司机市内版\acn_535_net2.opt.tnnmodel
及客司机,travel,1105_mbv2_eye_ch3.opt.tnnmodel,E:\mobilesec\apps\travel\及客司机\1105_mbv2_eye_ch3.opt.tnnmodel
B612咔叽,photo,M_SenseME_FaceOcclusion_p_1.0.7.1.model,E:\mobilesec\apps\photo\B612咔叽\M_SenseME_FaceOcclusion_p_1.0.7.1.model
汽修宝典,office,integrity_model_secret.bin,E:\mobilesec\apps\office\汽修宝典\integrity_model_secret.bin
护士加,exam,ldmodel.bin,E:\mobilesec\apps\exam\护士加\ldmodel.bin
易达出行司机,travel,acn_535_net1.opt.tnnmodel,E:\mobilesec\apps\travel\易达出行司机\acn_535_net1.opt.tnnmodel
罗麦随行,news,acn_535_net2.opt.tnnmodel,E:\mobilesec\apps\news\罗麦随行\acn_535_net2.opt.tnnmodel
华志专升本,exam,acn_535_net1.opt.tnnmodel,E:\mobilesec\apps\exam\华志专升本\acn_535_net1.opt.tnnmodel
流星直播,video,filter_cool.model,E:\mobilesec\apps\video\流星直播\filter_cool.model
苏州银行,finance,deepnet_model_char_base.bin,E:\mobilesec\apps\finance\苏州银行\deepnet_model_char_base.bin
红松极速版,exam,1102_mbv2_p1_eye.opt.tnnmodel,E:\mobilesec\apps\exam\红松极速版\1102_mbv2_p1_eye.opt.tnnmodel
城家,travel,faceidmodel.bin,E:\mobilesec\apps\travel\城家\faceidmodel.bin
唱吧,video,faceidmodel.bin,E:\mobilesec\apps\video\唱吧\faceidmodel.bin
华鑫证券鑫e代,finance,1102_mbv2_p1_eye.opt.tnnmodel,E:\mobilesec\apps\finance\华鑫证券鑫e代\1102_mbv2_p1_eye.opt.tnnmodel
秀秀直播,video,tender.model,E:\mobilesec\apps\video\秀秀直播\tender.model
花瓣直播,video,9.model,E:\mobilesec\apps\video\花瓣直播\9.model
路演中,finance,v324.opt.tnnmodel,E:\mobilesec\apps\finance\路演中\v324.opt.tnnmodel
天津税务,office,quality_model_secret.bin,E:\mobilesec\apps\office\天津税务\quality_model_secret.bin
云南农信,finance,deepnet_model_num.bin,E:\mobilesec\apps\finance\云南农信\deepnet_model_num.bin
粉嫩直播,video,acn_535_net2.opt.tnnmodel,E:\mobilesec\apps\video\粉嫩直播\acn_535_net2.opt.tnnmodel
齐齐直播,video,filter_style_xuemei.model,E:\mobilesec\apps\video\齐齐直播\filter_style_xuemei.model
腾讯自选股-股票炒股证券交易,finance,KM_August_Face_Gray_PPL_2.6.3_half_compression_v2_origin.model,E:\mobilesec\apps\finance\腾讯自选股-股票炒股证券交易\KM_August_Face_Gray_PPL_2.6.3_half_compression_v2_origin.model
快来新媒体,video,fdmodel.bin,E:\mobilesec\apps\video\快来新媒体\fdmodel.bin
右手,video,tt_face_extra_v12.0.model,E:\mobilesec\apps\video\右手\tt_face_extra_v12.0.model
图片转文字提取,office,hed_lite_model_quantize.tflite,E:\mobilesec\apps\office\图片转文字提取\hed_lite_model_quantize.tflite
淘宝联盟,shopping,ldmodel.bin,E:\mobilesec\apps\shopping\淘宝联盟\ldmodel.bin
招钱宝贝APP,finance,M_Face_Quality_Assessment.model,E:\mobilesec\apps\finance\招钱宝贝APP\M_Face_Quality_Assessment.model
录屏精灵,video,live_eye_pose.model,E:\mobilesec\apps\video\录屏精灵\live_eye_pose.model
还享花,finance,1105_mbv2_eye_ch3.opt.tnnmodel,E:\mobilesec\apps\finance\还享花\1105_mbv2_eye_ch3.opt.tnnmodel
小荷医生,health,tt_liveness_v10.0.model,E:\mobilesec\apps\health\小荷医生\tt_liveness_v10.0.model
腾讯自选股-股票炒股证券交易,finance,KM_Align_occlusion_106_1.19.6.model,E:\mobilesec\apps\finance\腾讯自选股-股票炒股证券交易\KM_Align_occlusion_106_1.19.6.model
51相亲婚恋红娘,communication,integrity_model_secret.bin,E:\mobilesec\apps\communication\51相亲婚恋红娘\integrity_model_secret.bin
喵街,shopping,fdmodel.bin,E:\mobilesec\apps\shopping\喵街\fdmodel.bin
我看直播,video,filter_swirl.model,E:\mobilesec\apps\video\我看直播\filter_swirl.model
同花顺爱基金,finance,model_1_opt.param.bin,E:\mobilesec\apps\finance\同花顺爱基金\model_1_opt.param.bin
中医在线,exam,fdmodel.bin,E:\mobilesec\apps\exam\中医在线\fdmodel.bin
趣聊,parenting,s_wallstreet.model,E:\mobilesec\apps\parenting\趣聊\s_wallstreet.model
广发证券易淘金,finance,model_occ0.bin,E:\mobilesec\apps\finance\广发证券易淘金\model_occ0.bin
财通证券,finance,ldmodel.bin,E:\mobilesec\apps\finance\财通证券\ldmodel.bin
桥架弯头计算器,life,1006.model,E:\mobilesec\apps\life\桥架弯头计算器\1006.model
泡泡直播,video,M_SenseME_Face_Video_5.3.3.model,E:\mobilesec\apps\video\泡泡直播\M_SenseME_Face_Video_5.3.3.model
360信用钱包,finance,1102_mbv2_p1_eye.opt.tnnmodel,E:\mobilesec\apps\finance\360信用钱包\1102_mbv2_p1_eye.opt.tnnmodel
多阅,communication,1.model,E:\mobilesec\apps\communication\多阅\1.model
基金决策宝,finance,integrity_model_secret.bin,E:\mobilesec\apps\finance\基金决策宝\integrity_model_secret.bin
中国移动浙江,life,integrity_model_secret.bin,E:\mobilesec\apps\life\中国移动浙江\integrity_model_secret.bin
倾刻直播,video,filter_style_hotwind_1.5.0.model,E:\mobilesec\apps\video\倾刻直播\filter_style_hotwind_1.5.0.model
腾飞出行司机,travel,fdmodel.bin,E:\mobilesec\apps\travel\腾飞出行司机\fdmodel.bin
路演中,finance,detect_model.bin,E:\mobilesec\apps\finance\路演中\detect_model.bin
图片恢复,photo,hed_lite_model_quantize.tflite,E:\mobilesec\apps\photo\图片恢复\hed_lite_model_quantize.tflite
